SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
2024-25,1610612737,ATL,Atlanta Hawks,0022400993,2025-03-18T00:00:00,ATL @ CHA,W,48.0,50,93,0.538,22,45,0.489,12,15,0.8,11,35,46,27,11.0,12,8,8,17,16,134,32.0,1,1,1,1,5,4,32,4,1,5,2,61,64,23,36,20,27,45,6,10,9,57,22,54,6,1,1,134.5,135.4,101.8,104.1,32.8,31.3,0.54,2.45,19.4,0.311,0.745,0.533,0.111,0.656,0.673,99.9,98.5,82.08,99,0.62,1,13,1,64,16,37,29,30,16,11,2,4,62,2
2024-25,1610612737,ATL,Atlanta Hawks,0022400978,2025-03-16T00:00:00,ATL @ BKN,L,48.0,42,90,0.467,11,37,0.297,19,24,0.792,10,28,38,27,14.0,12,11,5,17,18,114,-8.0,1,34,34,34,5,36,38,40,45,31,52,28,28,26,43,57,61,45,22,10,1,31,22,37,45,46,1,109.0,112.9,116.1,122.0,-7.0,-9.1,0.643,1.93,19.0,0.327,0.633,0.48,0.139,0.528,0.567,104.8,100.5,83.75,101,0.489,35,53,50,45,35,43,24,60,51,34,42,40,51,37
2024-25,1610612737,ATL,Atlanta Hawks,0022400960,2025-03-14T00:00:00,ATL vs. LAC,L,48.0,37,88,0.42,9,33,0.273,15,17,0.882,13,31,44,25,18.0,8,6,5,18,15,98,-23.0,1,34,34,34,5,61,45,56,58,52,60,42,55,8,25,46,32,56,50,48,20,31,30,58,63,63,1,97.5,98.0,118.9,122.2,-21.3,-24.2,0.676,1.39,17.6,0.327,0.762,0.521,0.18,0.472,0.513,101.1,99.5,82.92,100,0.392,62,54,67,37,57,54,23,25,23,54,58,57,53,63
2024-25,1610612737,ATL,Atlanta Hawks,0022400945,2025-03-12T00:00:00,ATL vs. CHA,W,48.0,37,88,0.42,14,36,0.389,35,39,0.897,13,30,43,26,14.0,13,6,9,16,26,123,13.0,1,1,1,1,5,61,45,56,27,40,25,1,2,7,25,51,40,54,22,8,20,63,17,4,21,8,1,115.9,117.1,102.9,103.8,13.0,13.4,0.703,1.86,17.8,0.278,0.68,0.471,0.133,0.5,0.585,106.5,105.5,87.92,105,0.544,21,12,9,26,37,52,44,48,54,28,54,33,21,19
2024-25,1610612737,ATL,Atlanta Hawks,0022400928,2025-03-10T00:00:00,ATL vs. PHI,W,48.0,53,98,0.541,15,37,0.405,11,14,0.786,14,34,48,34,15.0,4,6,3,18,15,132,9.0,1,1,1,1,5,3,17,3,19,31,20,65,66,28,17,27,18,8,35,68,20,11,30,58,8,15,1,125.5,129.4,117.4,120.6,8.2,8.8,0.642,2.27,22.1,0.383,0.783,0.581,0.147,0.617,0.634,105.0,102.0,85.0,102,0.54,4,51,15,47,26,11,10,14,4,39,5,9,44,23
2024-25,1610612737,ATL,Atlanta Hawks,0022400914,2025-03-08T00:00:00,ATL vs. IND,W,48.0,45,97,0.464,10,34,0.294,20,21,0.952,16,32,48,23,17.0,10,10,6,22,21,120,2.0,1,1,1,1,5,22,21,41,50,48,54,22,39,1,8,34,18,62,44,28,3,46,53,22,27,28,1,111.9,118.8,109.1,115.7,2.8,3.1,0.511,1.35,15.6,0.434,0.6,0.519,0.168,0.515,0.565,107.7,101.5,84.58,101,0.511,17,35,27,69,58,66,3,63,26,49,50,43,46,29
2024-25,1610612737,ATL,Atlanta Hawks,0022400899,2025-03-06T00:00:00,ATL vs. IND,W,48.0,50,94,0.532,10,30,0.333,14,18,0.778,11,32,43,32,9.0,5,4,5,16,18,124,6.0,1,1,1,1,5,4,31,6,50,64,41,48,47,32,36,34,40,15,3,65,44,31,17,37,18,18,1,124.1,124.0,118.6,119.2,5.5,4.8,0.64,3.56,21.9,0.298,0.766,0.532,0.09,0.585,0.608,99.7,99.5,82.92,100,0.531,10,47,21,51,2,13,33,24,17,3,12,22,53,26
2024-25,1610612737,ATL,Atlanta Hawks,0022400884,2025-03-04T00:00:00,ATL vs. MIL,L,48.0,46,101,0.455,16,41,0.39,13,17,0.765,11,36,47,33,12.0,10,6,1,21,13,121,-6.0,1,34,34,34,5,16,7,46,12,16,24,54,55,40,36,17,22,12,13,28,20,2,46,65,24,43,1,110.5,112.0,113.3,115.5,-2.7,-3.4,0.717,2.75,21.6,0.207,0.74,0.454,0.111,0.535,0.558,110.8,109.0,90.83,108,0.475,41,34,39,21,9,15,61,32,58,11,38,46,9,41
2024-25,1610612737,ATL,Atlanta Hawks,0022400878,2025-03-03T00:00:00,ATL @ MEM,W,48.0,55,96,0.573,13,28,0.464,9,17,0.529,14,18,32,35,12.0,12,7,3,24,16,132,2.0,1,1,1,1,5,1,26,1,33,67,6,67,55,69,17,69,68,5,13,10,11,11,63,54,8,28,1,130.1,130.7,121.5,128.7,8.6,2.0,0.636,2.92,23.2,0.341,0.478,0.411,0.119,0.641,0.638,104.2,101.0,84.17,101,0.495,3,65,31,52,6,7,19,69,68,17,4,8,49,34
2024-25,1610612737,ATL,Atlanta Hawks,0022400851,2025-02-28T00:00:00,ATL vs. OKC,L,48.0,43,88,0.489,15,36,0.417,18,23,0.783,10,36,46,27,19.0,8,5,1,14,18,119,-16.0,1,34,34,34,5,33,45,21,19,40,12,31,31,30,43,17,27,45,56,48,33,2,5,37,32,57,1,111.1,110.2,123.5,125.0,-12.4,-14.8,0.628,1.42,18.6,0.217,0.74,0.49,0.176,0.574,0.606,108.2,108.0,90.0,108,0.452,46,56,58,54,55,48,58,32,46,52,22,23,12,49
2024-25,1610612737,ATL,Atlanta Hawks,0022400841,2025-02-26T00:00:00,ATL @ MIA,L,48.0,41,81,0.506,12,32,0.375,15,19,0.789,9,24,33,29,17.0,6,3,2,15,13,109,-22.0,1,34,34,34,5,40,61,13,39,54,30,42,45,27,50,67,67,33,44,59,53,7,12,65,53,61,1,112.0,116.0,138.4,139.4,-26.4,-23.4,0.707,1.71,21.2,0.326,0.706,0.494,0.181,0.58,0.61,96.0,94.0,78.33,94,0.4,25,69,66,24,43,18,25,41,43,55,14,21,69,62
2024-25,1610612737,ATL,Atlanta Hawks,0022400825,2025-02-24T00:00:00,ATL vs. MIA,W,48.0,40,88,0.455,9,35,0.257,9,12,0.75,13,37,50,29,18.0,13,2,4,22,9,98,12.0,1,1,1,1,5,47,45,47,58,46,63,67,68,44,25,10,15,33,50,8,64,20,53,69,63,10,1,99.7,102.1,86.1,88.7,13.6,13.4,0.725,1.61,20.6,0.32,0.661,0.505,0.188,0.506,0.525,99.1,96.5,80.42,96,0.597,58,1,8,20,49,25,28,56,38,57,52,56,67,6
2024-25,1610612737,ATL,Atlanta Hawks,0022400814,2025-02-23T00:00:00,ATL vs. DET,L,48.0,48,96,0.5,21,45,0.467,26,36,0.722,10,30,40,30,13.0,8,6,5,21,23,143,-5.0,1,34,34,34,5,11,26,15,2,5,5,6,5,53,43,51,51,25,17,48,20,31,46,12,2,41,1,124.5,126.5,125.4,129.8,-0.9,-3.3,0.625,2.31,19.2,0.275,0.738,0.484,0.115,0.609,0.639,116.4,113.5,94.58,113,0.465,7,66,38,56,22,41,46,35,49,16,9,7,1,47
2024-25,1610612737,ATL,Atlanta Hawks,0022400790,2025-02-20T00:00:00,ATL vs. ORL,L,48.0,39,100,0.39,11,35,0.314,19,28,0.679,16,35,51,20,9.0,7,4,7,25,22,108,-6.0,1,34,34,34,5,49,10,67,45,46,46,28,16,61,8,20,10,68,3,55,44,53,65,17,55,43,1,102.5,109.1,115.5,115.2,-12.9,-6.1,0.513,2.22,14.3,0.338,0.735,0.509,0.091,0.445,0.481,102.0,99.0,82.5,99,0.432,50,31,45,67,27,68,20,36,34,4,66,65,59,56
